사업장명,도로명전체주소,위생업태명,영업장주변구분명,시설총규모,위도,경도
아리아노래주점,"대전광역시 대덕구 대덕대로 1610, 4층 (석봉동)",룸살롱,유흥업소밀집지역,183.46,36.4496808,127.4215026
버킹검,"대전광역시 유성구 대학로 8, 지상3층 (봉명동)",룸살롱,유흥업소밀집지역,407.83,36.3740741,127.3781724
풀코스노래클럽,대전광역시 동구 동서대로1695번길 84 (용전동),룸살롱,,258,36.3524512,127.4376841
온천노래바,"대전광역시 유성구 계룡로123번길 35, 지상2층 (봉명동)",룸살롱,,120.59,36.3549374,127.3450624
도깨비가요주점,"대전광역시 대덕구 신탄진로 798, 지하층 (신탄진동)",룸살롱,,135.54,36.4378724,127.42627
갤러리,"대전광역시 중구 중앙로130번길 28 (대흥동,(지하1층))",룸살롱,,88.2,36.3271322,127.424748
퀄리티,"대전광역시 유성구 대학로 8, 지하1층 (봉명동)",룸살롱,,477.98,36.3740741,127.3781724
오딧세이,"대전광역시 유성구 계룡로155번길 27 (봉명동,(지하1층))",룸살롱,,267.61,36.353228,127.3479079
7080술마시는노래주점,대전광역시 대덕구 신탄진동로7번길 39 (신탄진동),기타,기타,57.32,36.449223,127.4299318
한,대전광역시 유성구 계룡로87번길 12 (봉명동),룸살롱,,177.79,36.3557237,127.3411667
섹시,대전광역시 대덕구 신탄진로804번길 31 (신탄진동),룸살롱,유흥업소밀집지역,143.01,36.4497092,127.4329138
킹카,대전광역시 대덕구 신탄진로810번길 14 (신탄진동),룸살롱,유흥업소밀집지역,182.12,36.4498086,127.4300513
라운딩,"대전광역시 유성구 온천서로 2 (봉명동, 럭키빌딩 12층)",룸살롱,,353.25,36.3573221,127.3394849
하트,"대전광역시 대덕구 신탄진동로7번길 63, 2층 (신탄진동)",룸살롱,유흥업소밀집지역,217.08,36.449223,127.4299318
베스트,"대전광역시 유성구 온천서로 22-6 (봉명동,지상3층)",룸살롱,,237.76,36.3573221,127.3394849
블루칩,"대전광역시 유성구 온천북로 37, 지상2층 (봉명동)",룸살롱,,149.46,36.3567849,127.3467595
아우디,대전광역시 대덕구 신탄진동로23번길 17 (신탄진동),룸살롱,학교정화(상대),89.78,36.4494771,127.4315036
홍콩,대전광역시 대덕구 신탄진로804번길 32 (신탄진동),룸살롱,학교정화(상대),116.56,36.4497092,127.4329138
뒹가뒹가술마시는노래주점,대전광역시 대덕구 대청로 17 (신탄진동),룸살롱,,120.91,36.4643433,127.4664969
톰바,"대전광역시 유성구 온천서로 10, 2층 (봉명동)",룸살롱,,217.95,36.3573221,127.3394849
줄넘기,"대전광역시 서구 도산로369번길 29, 지하1층 (용문동)",룸살롱,유흥업소밀집지역,231.39,36.3389863,127.3902156
퍼펙트,"대전광역시 유성구 계룡로105번길 27, 지상2층 (봉명동)",룸살롱,,153.73,36.3549,127.3428
금잔디,대전광역시 대덕구 중리로7번길 지하 14-23 (중리동),룸살롱,,124.27,36.3597079,127.4230059
