사업장명,도로명전체주소,위생업태명,영업장주변구분명,시설총규모,위도,경도
알리바바노래클럽,대전광역시 유성구 어은로51번길 36 (어은동),단란주점,,90.18,36.3621698,127.3549396
영술마시는노래바,대전광역시 중구 중앙로121번길 30 (선화동),단란주점,,134.09,36.3299156,127.4222085
밀레,"대전광역시 서구 둔산로137번길 31 (둔산동,지하1층)",단란주점,,96.03,36.3524374,127.3892586
황진이,"대전광역시 서구 도마2길 지하 10, 1층 (도마동)",단란주점,,75.29,36.3155815,127.3840863
하이볼HIBALL,"대전광역시 서구 둔산중로46번길 38 (둔산동,지상3층)",단란주점,,177.62,36.3507634,127.388891
썸뮤직타운,"대전광역시 중구 중앙로130번길 34, 지하1층 (대흥동)",단란주점,,130.23,36.3271322,127.424748
루비,대전광역시 중구 보문로262번길 48 (대흥동),단란주점,,80.46,36.3264689,127.422966
쉬라(SheRa),대전광역시 동구 동서대로1705번길 79 (용전동),단란주점,유흥업소밀집지역,107.97,36.3506668,127.4385353
썸썸,"대전광역시 서구 둔산로137번길 18, 501호 (둔산동)",단란주점,,90.34,36.3524374,127.3892586
퀸,"대전광역시 서구 계룡로509번길 49, 지하1층 (탄방동)",단란주점,기타,97.65,36.3456404,127.3828518
무궁화노래,"대전광역시 서구 대덕대로335번길 27 (월평동,지하1층)",단란주점,,76.76,36.3629507,127.377932
놀자7080,"대전광역시 서구 도산로 64 (도마동,7층)",단란주점,,344.27,36.3444833,127.4003371
수정 노래주점,"대전광역시 유성구 장대로 51, 지하1층 (장대동)",단란주점,,92.77,36.3607534,127.335684
체인지,"대전광역시 서구 둔산로137번길 28, 지하1층 (둔산동)",단란주점,유흥업소밀집지역,291.17,36.3524374,127.3892586
황제,"대전광역시 서구 둔산로137번길 36 (둔산동,지하1층)",단란주점,,148.88,36.3524374,127.3892586
쉬리,"대전광역시 서구 월평로 52 (월평동,지하1층)",단란주점,,114.99,36.3571791,127.3630649
해주가요클럽,대전광역시 중구 보문로162번길 86 (대사동),단란주점,기타,119.01,36.3188213,127.4285216
미소노래주점,"대전광역시 서구 계룡로553번안길 49 (탄방동,지하1층)",단란주점,,108.19,36.3459837,127.3874739
세븐노래바,"대전광역시 서구 대덕대로185번길 57, 지하1층 (둔산동)",단란주점,,82.29,36.3505342,127.3756399
세컨드,"대전광역시 서구 계룡로553번안길 23 (탄방동,지하1층)",단란주점,,109.9,36.3459837,127.3874739
엘비스,"대전광역시 유성구 계룡로66번길 16, 지하1층 (봉명동)",단란주점,,111.78,36.353696,127.3379269
킹,"대전광역시 서구 둔산로137번길 27 (둔산동,지하1층)",단란주점,,90.28,36.3524374,127.3892586
니쏠내쏠,"대전광역시 서구 계룡로 366 (갈마동,지하1층)",단란주점,,136.2,36.3513547,127.3701001
써니노래마당,"대전광역시 대덕구 신탄진동로23번길 7, 지하1층 (신탄진동)",단란주점,유흥업소밀집지역,114.41,36.4494771,127.4315036
필노래팡팡,"대전광역시 서구 청사로123번길 15 (월평동,지하1층)",단란주점,,104.53,36.3611875,127.377528
버버리,"대전광역시 서구 대덕대로 151-1 (갈마동,지하1층)",단란주점,,69.03,36.3400115,127.3734532
비엠더블유,"대전광역시 서구 대덕대로162번길 지하 29, 1층 (갈마동)",단란주점,,126.93,36.3437897,127.3792416
멜론,"대전광역시 서구 대덕대로233번길 28, 지하1층 (둔산동)",단란주점,,124.85,36.353584,127.3780407
불티7080,"대전광역시 서구 도산로 114-1 (도마동,지하1층)",단란주점,,105.37,36.3444833,127.4003371
금강산,"대전광역시 서구 월평북로 88-16 (월평동,3층)",단란주점,,33.4,36.3611899,127.3781874
팡팡,"대전광역시 유성구 온천서로 35-18, 지하1층 (장대동)",단란주점,주택가주변,133.7,36.3573221,127.3394849
별노래샾,"대전광역시 서구 월평중로 5-1 (월평동,지하1층)",단란주점,,94.28,36.3610234,127.3628509
다낭,"대전광역시 서구 둔산로65번길 25, 지하1층 (둔산동)",단란주점,,130.34,36.3509036,127.3811509
아시아인디오(ASIA인디오),"대전광역시 중구 중교로 84-1, 지하1층 (대흥동)",단란주점,,108.5,36.3247631,127.420716
만년7080,"대전광역시 중구 대흥로66번길 27, 지하1층 (대흥동)",단란주점,학교정화(상대),130.95,36.3228512,127.4209012
낭만,"대전광역시 서구 문정로 126-1, 지하1층 (탄방동)",단란주점,,41.66,36.3467222,127.3848285
꽃노래,"대전광역시 서구 갈마로 85 (갈마동,지하1층)",단란주점,,134.16,36.3402374,127.3740253
제우스,"대전광역시 서구 정림로 66, 지하1층 (정림동)",단란주점,,114.44,36.3072153,127.364664
방방,"대전광역시 서구 조달청길 86 (도마동,지하1층)",단란주점,,93.81,36.3192969,127.3720809
자유로,대전광역시 유성구 유성대로720번길 87 (장대동),단란주점,유흥업소밀집지역,98.13,36.3574184,127.337982
썬,"대전광역시 서구 월평중로 2, 지하1층 (월평동)",단란주점,,59.53,36.3610234,127.3628509
시크릿,"대전광역시 서구 월평중로 14 (월평동,지하1층)",단란주점,,99.33,36.3610234,127.3628509
춘향이단란주점,"대전광역시 동구 동대전로 57, 지하1층 (대동)",단란주점,,102.96,36.3380604,127.4482198
허니허니,대전광역시 중구 문창로 135 (대흥동),단란주점,결혼예식장주변,104.74,36.3163784,127.4337015
찬찬찬,"대전광역시 서구 청사로123번길 37 (월평동,지하1층)",단란주점,,133.94,36.3611875,127.377528
비타민,대전광역시 대덕구 중리로 지하 41 (중리동),단란주점,기타,84.04,36.3629452,127.4252219
러브,"대전광역시 서구 월평중로 지하 11, 1층 (월평동)",단란주점,주택가주변,40.14,36.3610234,127.3628509
이광룡의 터미널7080,"대전광역시 서구 도산로 208 (변동,지하1층)",단란주점,,118.69,36.3340181,127.387123
