사업장명,도로명전체주소,위생업태명,영업장주변구분명,시설총규모,위도,경도
팡팡노래타운,대전광역시 유성구 온천북로33번길 36-38 (봉명동),단란주점,유흥업소밀집지역,122.88,36.3578011,127.3469792
여러분7080,"대전광역시 중구 대종로505번길 33 (선화동,지하1층)",단란주점,유흥업소밀집지역,114.86,36.3288321,127.4237966
로또노래광장,대전광역시 대덕구 한밭대로1149번길 지하 33 (중리동),단란주점,학교정화(상대),95.46,36.3597893,127.4262945
모여라7080,"대전광역시 중구 대종로 591 (선화동,지하1층)",단란주점,기타,124.07,36.3062278,127.4482781
별이빛나는밤에,"대전광역시 중구 대흥로121번길 43 (대흥동,지상3층)",단란주점,학교정화(상대),147.32,36.3250017,127.425589
올레7080,"대전광역시 대덕구 중리로 12, 2층 (중리동)",단란주점,기타,134.96,36.3629452,127.4252219
리치,대전광역시 중구 대흥로175번길 40 (대흥동),단란주점,기타,99.03,36.326215,127.4307624
올레단란주점,"대전광역시 중구 계룡로874번길 102, 2층 (오류동)",단란주점,기타,56.58,36.3225473,127.4080303
필엔필단란주점,"대전광역시 서구 둔산중로134번길 21, 1층 108호 (둔산동)",단란주점,기타,65.18,36.3587466,127.3885555
락단란주점,"대전광역시 중구 계백로1685번길 15 (오류동,(2층))",단란주점,기타,107.24,36.32328075,127.4060441
꿈노래광장주점,"대전광역시 중구 대둔산로 530, 지하1층 (유천동)",단란주점,,122.8,36.2815663,127.3757249
달,대전광역시 동구 은어송로51번길 16-8 (가오동),단란주점,기타,27.54,36.3070418,127.4554238
운창형아우랑노래주점,대전광역시 중구 당디로 111 (유천동),단란주점,유흥업소밀집지역,144,36.3083824,127.3936335
써니,"대전광역시 서구 도산로369번길 53 (괴정동,(2층))",단란주점,기타,98.78,36.3389863,127.3902156
젊은그대(주),대전광역시 중구 대흥로169번길 49 (대흥동),단란주점,,68.85,36.3260219,127.4302508
조이락,"대전광역시 서구 둔산로31번길 32 (둔산동,(3층))",단란주점,,96.75,36.3533057,127.3785109
타임단란주점,"대전광역시 대덕구 중리남로 53 (중리동,(지하1층))",단란주점,유흥업소밀집지역,90.26,36.3608913,127.4262515
락,대전광역시 동구 은어송로51번길 12 (가오동),단란주점,기타,52.04,36.3070418,127.4554238
블루,"대전광역시 중구 대흥로 22 (대사동,(지하1층))",단란주점,유흥업소밀집지역,32.74,36.3238249,127.4266645
황진이,대전광역시 중구 대종로529번길 44 (선화동),단란주점,유흥업소밀집지역,110.02,36.3302493,127.4220182
금맥,"대전광역시 중구 중앙로137번길 39 (선화동,(2층))",단란주점,,104.65,36.3296795,127.4237497
카이저,"대전광역시 서구 둔산로73번길 37 (둔산동,(8층))",단란주점,기타,67.92,36.3524223,127.3819663
청운단란주점,"대전광역시 유성구 장대로 47, 지상2층 (장대동)",단란주점,기타,99.46,36.3569572,127.3376849
꿈노래단란주점,"대전광역시 유성구 테크노중앙로 88-14, 지상6층 (관평동)",단란주점,기타,36.58,36.425328,127.3921917
쇼단란주점,대전광역시 중구 중앙로122번길 43 (대흥동),단란주점,학교정화(상대),64.69,36.3268313,127.4239392
꿀단지,"대전광역시 유성구 테크노중앙로 65, 706호 (관평동, 외1필지 남정빌딩)",단란주점,,77.55,36.42608945,127.3928201
써니텐,"대전광역시 서구 둔산로31번길 56, 3층 (둔산동)",단란주점,유흥업소밀집지역,84.14,36.3533057,127.3785109
아세안노래주점,"대전광역시 유성구 테크노중앙로 62, 9층 (관평동, 새롬빌딩)",단란주점,기타,63.4,36.4257978,127.3920169
스타일,대전광역시 중구 대흥로175번길 33 (대흥동),단란주점,유흥업소밀집지역,109.55,36.326215,127.4307624
왕음악회,"대전광역시 중구 대흥로 160, 2층 (대흥동)",단란주점,,126.7,36.3238249,127.4266645
썬샤인,"대전광역시 서구 둔산로51번길 16 (둔산동,장천빌딩 5층)",단란주점,,350.1,36.3534803,127.3803531
7080라이브광장엘리시아,대전광역시 중구 계백로 1582-1 (유천동),단란주점,,78.31,36.3162871,127.3894402
궁,"대전광역시 서구 대덕대로234번길 45 (둔산동,5층 하이베라스 503호)",단란주점,기타,98,36.3535811,127.3819766
필,"대전광역시 유성구 온천로 64, 지하1층 (봉명동)",단란주점,유흥업소밀집지역,92.39,36.3556408,127.3395954
뉴스노래궁단란주점,"대전광역시 유성구 장대로 34 (장대동,(2층))",단란주점,기타,140.28,36.3569572,127.3376849
바이브,"대전광역시 중구 대흥로165번길 44 (대흥동,지하1층)",단란주점,기타,99.8,36.3258287,127.429728
맨하탄 단란주점,"대전광역시 유성구 온천로101번길 10, 3층 (봉명동)",단란주점,유흥업소밀집지역,97.17,36.3546839,127.3491133
플랫 둔산,"대전광역시 서구 둔산로31번길 72 (둔산동,지하 1층)",단란주점,,224.08,36.3533057,127.3785109
브라보노래주점,"대전광역시 서구 둔산로31번길 72 (둔산동,2층)",단란주점,,115.33,36.3533057,127.3785109
큐,"대전광역시 중구 중앙로112번길 42 (대흥동,지하1층)",단란주점,,127.69,36.3264689,127.422966
오투,"대전광역시 서구 둔산로31번길 66 (둔산동,3층)",단란주점,기타,249.71,36.3533057,127.3785109
무지개,"대전광역시 중구 대종로452번길 26-1, 1층 (대흥동)",단란주점,기타,130.78,36.3258287,127.429728
명품,"대전광역시 서구 둔산로137번길 17, 지하1층 (둔산동)",단란주점,,120.85,36.3524374,127.3892586
궁,"대전광역시 서구 계룡로620번길 지하 32, 1층 (괴정동)",단란주점,기타,59.9,36.3389863,127.3902156
