사업장명,도로명전체주소,위생업태명,양실수,한실수,위도,경도
행운장모텔,대전광역시 동구 대전로825번길 16 (정동),여관업,10,0,36.332086,127.4296685
청수모텔,대전광역시 동구 동서대로1683번길 46-17 (용전동),여관업,28,2,36.3524766,127.435556
자바모텔,대전광역시 동구 동서대로1683번길 54 (용전동),여관업,18,1,36.3524766,127.435556
동백여관,대전광역시 중구 유천로47번길 116 (유천동),여관업,10,0,36.3161374,127.3945659
거북 여인숙,대전광역시 중구 계백로1522번길 56 (유천동),여인숙업,8,0,36.3139,127.3885
하이클래스모텔,대전광역시 동구 동서대로1705번길 79 (용전동),여관업,9,10,36.3506668,127.4385353
운현장여관,대전광역시 중구 대종로386번길 84 (문창동),여관업,18,1,36.3207914,127.4337158
모모(HOTEL MOMO),대전광역시 동구 동서대로1695번길 24-14 (용전동),여관업,5,14,36.3531482,127.4371511
뉴서울파크,대전광역시 동구 동서대로1695번길 106 (용전동),여관업,15,3,36.3531482,127.4371511
하나장,대전광역시 동구 계족로 8 (효동),여관업,7,3,36.3168911,127.440682
럭키장여관,대전광역시 중구 유천로 57 (유천동),여관업,8,1,36.3176075,127.3968531
진주장,대전광역시 동구 동서대로1705번길 24 (용전동),여관업,8,9,36.3506668,127.4385353
용문파크,대전광역시 서구 도산로 378 (용문동),여관업,11,3,36.3357379,127.3898925
천연장,대전광역시 동구 우암로 239 (가양동),여관업,20,16,36.3504138,127.4525122
태림장여관,"대전광역시 중구 목척1길 20 (은행동,,3,4.)",여관업,10,0,36.3300046,127.426574
예오장,"대전광역시 중구 문창로 101-21 (대흥동,,32)",여관업,14,0,36.3160659,127.4338853
백운장여관,대전광역시 서구 가장로 128 (가장동),여관업,9,9,36.3369616,127.3819814
오류장여관,대전광역시 중구 오류로 77-1 (오류동),여관업,8,2,36.3214703,127.4042701
대성,대전광역시 동구 비래서로42번안길 49-27 (가양동),여관업,11,1,36.3537131,127.451922
투투모텔,대전광역시 유성구 계룡로155번길 36 (봉명동),여관업,11,7,36.353228,127.3479079
가양레지던스,대전광역시 동구 흥룡로 10 (가양동),여관업,11,5,36.34943,127.4485021
로망스,대전광역시 동구 동서대로1705번길 13 (용전동),여관업,25,2,36.3506668,127.4385353
세원하우스,대전광역시 중구 대종로 451-6 (대흥동),숙박업(생활),18,0,36.3062278,127.4482781
국일장,대전광역시 동구 중앙로203번길 42 (정동),여인숙업,5,0,36.3328297,127.4303256
3.3여관,대전광역시 중구 계백로1522번길 57 (유천동),여관업,0,6,36.3139,127.3886
에스모텔,대전광역시 동구 산내로 1378-4 (대성동),여관업,5,5,36.2280141,127.4471344
안흥파크,대전광역시 중구 인창로28번길 27 (문창동),여관업,10,0,36.3217835,127.4332814
원앙파크,대전광역시 중구 인창로6번길 11 (대흥동),여관업,12,0,36.321262,127.4309165
(주)더휴식 소륜대전지점,대전광역시 대덕구 대전로 1394 (읍내동),일반호텔,23,9,36.3594853,127.4157548
한일장여관,대전광역시 중구 보문로 143 (대사동),여관업,12,0,36.3194918,127.4240618
예원모텔,대전광역시 동구 대전로 896 (삼성동),여관업,10,8,36.3260032,127.4362296
일신모텔,대전광역시 중구 대전천서로 419 (대흥동),여관업,14,1,36.3164771,127.4383812
서린장,대전광역시 동구 대흥로202번길 21-8 (인동),여관업,14,2,36.3253134,127.4343777
금강장여관,대전광역시 대덕구 신탄진로810번길 15 (신탄진동),여관업,15,1,36.4504391,127.4327313
띠울장모텔,대전광역시 동구 동대전로218번길 4 (자양동),여관업,19,4,36.342388,127.450146
퀸모텔,대전광역시 중구 유등천동로324번길 28 (산성동),여관업,13,1,36.3126211,127.3886885
은성장,대전광역시 동구 대전로815번길 33 (정동),여관업,17,5,36.3355276,127.4294838
세라돈여관,대전광역시 중구 대흥로 7-5 (문화동),여관업,9,2,36.3238249,127.4266645
청수파크,대전광역시 서구 계룡로636번길 14-27 (용문동),여관업,5,15,36.3394122,127.3907908
비쥬모텔,대전광역시 동구 대전로807번길 4 (정동),여관업,22,0,36.3311723,127.4311038
뉴히딩크모텔,대전광역시 중구 유등천동로 324-1 (산성동),여관업,23,2,36.307534,127.3847183
유림여관,대전광역시 중구 유천로47번길 102 (유천동),여관업,12,0,36.3161374,127.3945659
경성장여관,대전광역시 중구 대전천서로 419-7 (대흥동),여관업,15,0,36.3164771,127.4383812
누을장,대전광역시 동구 동대전로248번길 179 (가양동),여관업,2,11,36.3454021,127.4513586
로즈모텔,대전광역시 중구 태평로 183 (태평동),여관업,10,2,36.3312108,127.3965779
큐모텔,대전광역시 대덕구 오정로76번길 77 (오정동),여관업,15,4,36.3535729,127.4114564
천운장모텔,대전광역시 중구 대흥로175번길 11 (대흥동),여관업,17,0,36.326215,127.4307624
수정장여관,대전광역시 중구 태평로 185 (태평동),여관업,19,0,36.3331554,127.398215
스테이 소제,대전광역시 동구 계족로 209-1 (신안동),여관업,8,3,36.3168911,127.440682
금호여관,대전광역시 대덕구 대전로 1139 (오정동),여관업,10,2,36.3594853,127.4157548
월드파크,대전광역시 중구 오류로 64 (오류동),여관업,17,9,36.3214703,127.4042701
동산장,대전광역시 동구 동서대로 1715-14 (용전동),여관업,15,2,36.3458005,127.4298745
만금장여관,대전광역시 중구 충무로 85-1 (대사동),여관업,8,0,36.3174413,127.4265934
상양여인숙,대전광역시 동구 선화로214번길 69 (정동),여인숙업,2,5,36.3323,127.4314
장수여관,대전광역시 대덕구 우암로 441 (비래동),여관업,8,2,36.3595579,127.4483459
경하온천호텔,대전광역시 유성구 온천로101번길 30 (봉명동),관광호텔,11,29,36.3546839,127.3491133
국향장여관,대전광역시 중구 선화로 120 (선화동),여관업,6,0,36.324109,127.4114682
명동파크,대전광역시 동구 한밭대로1314번길 17 (용전동),여관업,13,1,36.3518336,127.4387232
파인파크,대전광역시 동구 대전로807번길 13 (중동),여관업,11,0,36.3311723,127.4311038
동보장,대전광역시 동구 대전로839번길 58 (중동),여관업,14,5,36.3334128,127.429336
충북여인숙,대전광역시 동구 역전시장길 75 (정동),여인숙업,0,6,36.3300991,127.4341545
호박장 여인숙,대전광역시 동구 선화로214번길 70 (정동),여인숙업,4,3,36.3322,127.4313
옷샘여관,대전광역시 대덕구 송촌남로 61 (송촌동),여관업,8,7,36.3565436,127.4437923
올리비아,대전광역시 동구 대전로825번길 13 (정동),여인숙업,0,9,36.332086,127.4296685
광산여관,대전광역시 유성구 계룡로66번길 37 (봉명동),여관업,0,10,36.353696,127.3379269
금성,대전광역시 동구 대전로815번길 11 (정동),여관업,8,7,36.3355276,127.4294838
경북여인숙,대전광역시 동구 역전시장길 84 (정동),여인숙업,0,8,36.3300991,127.4341545
대원여인숙,대전광역시 동구 대전로813번길 22 (중동),여인숙업,0,6,36.3315723,127.4307873
한밭여관,대전광역시 중구 계룡로955번길 36 (대흥동),여관업,10,0,36.3211719,127.4181316
불로장여관,대전광역시 유성구 계룡로 41-9 (봉명동),여관업,21,8,36.3535447,127.3417308
수정,대전광역시 동구 비래서로62번길 103 (가양동),여관업,14,4,36.3521192,127.4500574
대명장여관,대전광역시 중구 대둔산로509번길 29 (유천동),여관업,14,4,36.3144256,127.3886945
용궁여관,대전광역시 중구 중앙로16번길 19-8 (문화동),여관업,14,0,36.3209399,127.4147483
경빈,대전광역시 동구 우암로 175-4 (성남동),여관업,4,8,36.3504138,127.4525122
영재여인숙,대전광역시 동구 동서대로1692번길 11 (가양동),여인숙업,0,13,36.3457491,127.4378819
대한모텔,대전광역시 동구 선화로214번길 50 (정동),여관업,5,0,36.333,127.4306
고향여관,대전광역시 중구 유천로 57-30 (유천동),여관업,10,4,36.3176075,127.3968531
백제장여관,대전광역시 중구 중앙로16번길 19-11 (문화동),여관업,16,2,36.3209399,127.4147483
남도장여관,대전광역시 동구 중앙로203번길 47 (정동),여관업,7,5,36.3328297,127.4303256
만월호텔대흥점,"대전광역시 중구 대흥로165번길 35, 1-6층 (대흥동)",여관업,29,0,36.3258287,127.429728
안흥여관,대전광역시 중구 목척2길 45 (은행동),여관업,0,10,36.3314264,127.4254349
원앙여인숙,대전광역시 동구 역전시장길 30 (정동),여인숙업,0,10,36.3300991,127.4341545
대덕여인숙,대전광역시 동구 역전1길 29 (정동),여인숙업,0,14,36.3335646,127.4321236
영남여인숙,대전광역시 동구 창조1길 31 (원동),여인숙업,0,5,36.3278573,127.4351925
궁월장,대전광역시 동구 대전로839번길 22 (정동),여관업,6,9,36.3334128,127.429336
무명여관,대전광역시 서구 계룡로620번길 7 (용문동),여관업,3,12,36.3389863,127.3902156
라성여관,대전광역시 동구 창조1길 61 (원동),여관업,5,6,36.3278573,127.4351925
자스민모텔,대전광역시 중구 중앙로112번길 42 (대흥동),여관업,19,1,36.3264689,127.422966
칠갑산파크,대전광역시 동구 동서대로1683번길 88 (용전동),여관업,12,0,36.3524766,127.435556
송덕장여관,대전광역시 중구 중앙로137번길 55 (선화동),여관업,0,17,36.3296795,127.4237497
명성,대전광역시 동구 선화로214번길 74 (정동),여관업,5,13,36.3321,127.4314
정림여관,대전광역시 중구 목척9길 22 (은행동),여관업,0,16,36.330441,127.4266956
그린파크,대전광역시 중구 유등천동로324번길 16 (산성동),여관업,10,2,36.3126211,127.3886885
동양여관,대전광역시 중구 대흥로111번길 30-10 (대흥동),여관업,11,0,36.3248179,127.4250515
덕영장,대전광역시 동구 대전로825번길 14 (정동),여인숙업,0,9,36.332086,127.4296685
허브모텔,대전광역시 중구 목척1길 29 (은행동),여관업,30,0,36.3300046,127.426574
미진여인숙,대전광역시 동구 선화로214번길 54 (정동),여인숙업,2,8,36.3328,127.4307
휴파크,대전광역시 동구 대전로807번길 14 (중동),여관업,8,2,36.3311723,127.4311038
에이스텔,대전광역시 중구 유등천동로 326-10 (산성동),여관업,16,0,36.307534,127.3847183
드림하우스,대전광역시 중구 중앙로129번길 27 (선화동),숙박업(생활),0,17,36.3288321,127.4237966
희망여인숙,대전광역시 동구 대전로815번길 58 (정동),여인숙업,0,9,36.3355276,127.4294838
신흥여인숙,대전광역시 동구 역전시장길 88 (정동),여인숙업,0,6,36.3300991,127.4341545
덕성여인숙,대전광역시 동구 역전1길 103 (정동),여인숙업,0,7,36.3335646,127.4321236
문화,대전광역시 동구 역전2길 6 (정동),여인숙업,0,13,36.3335,127.432
행운장여관,대전광역시 유성구 계룡로59번길 16 (봉명동),여관업,10,21,36.355854,127.3378672
보은여인숙,대전광역시 동구 역전1길 137 (정동),여인숙업,0,8,36.3335646,127.4321236
둥지파크,"대전광역시 중구 목척1길 50 (은행동,,4)",여관업,18,0,36.3300046,127.426574
극동여관,대전광역시 동구 선화로 201 (삼성동),여관업,5,5,36.3349787,127.4285817
별모텔,대전광역시 대덕구 동서대로1748번길 11 (비래동),여관업,14,3,36.3508666,127.445205
신창여인숙,대전광역시 동구 역전1길 135 (정동),여인숙업,2,8,36.3335646,127.4321236
성남여인숙,대전광역시 동구 계족로328번길 8-1 (성남동),여인숙업,0,10,36.342371,127.4370783
충청여인숙,대전광역시 동구 창조1길 52 (원동),여인숙업,0,6,36.3278573,127.4351925
영일장,대전광역시 중구 목척1길 11 (은행동),여관업,4,4,36.3300046,127.426574
삼화,대전광역시 동구 계족로328번길 8 (성남동),여인숙업,0,10,36.342371,127.4370783
서울여인숙,대전광역시 동구 역전시장길 77 (정동),여인숙업,0,5,36.3300991,127.4341545
남도 여인숙,대전광역시 중구 오류로 19-11 (오류동),여인숙업,0,7,36.3214703,127.4042701
천흥여인숙,대전광역시 동구 창조3길 25 (정동),여인숙업,4,11,36.3281325,127.4359107
화성모텔,대전광역시 중구 충무로 160-1 (문창동),여관업,14,0,36.3174413,127.4265934
한성여인숙,대전광역시 중구 동서대로1327번길 1 (용두동),여인숙업,0,10,36.3313568,127.404974
대영여인숙,대전광역시 동구 역전시장길 65 (정동),여인숙업,0,5,36.3300991,127.4341545
명신여인숙,대전광역시 동구 역전시장길 55 (정동),여인숙업,0,4,36.3300991,127.4341545
인화여인숙,대전광역시 동구 역전시장길 67 (정동),여인숙업,0,4,36.3300991,127.4341545
진주여인숙,대전광역시 동구 창조2길 18 (원동),여인숙업,0,5,36.3275234,127.4353828
첼로파크여관,대전광역시 중구 목척7길 30 (은행동),여관업,11,0,36.330441,127.4266956
대동여인숙,대전광역시 동구 대전로815번길 13 (정동),여인숙업,0,6,36.3355276,127.4294838
동원여인숙,대전광역시 동구 역전시장길 69 (정동),여인숙업,0,6,36.3300991,127.4341545
우리여인숙,대전광역시 동구 창조1길 47 (원동),여인숙업,0,8,36.3278573,127.4351925
대원여인숙,대전광역시 동구 역전시장길 20 (중동),여인숙업,0,5,36.3300991,127.4341545
세종여관,대전광역시 유성구 유성대로694번길 120 (봉명동),여관업,0,10,36.3535,127.338
산호,대전광역시 동구 역전1길 37 (정동),여인숙업,0,8,36.3335646,127.4321236
금성여관,대전광역시 유성구 계룡로59번길 33 (봉명동),여관업,6,28,36.355854,127.3378672
화원여인숙,대전광역시 동구 선화로214번길 69-2 (정동),여인숙업,2,2,36.3324,127.4315
영광여인숙,대전광역시 동구 대전로825번길 13 (정동),여인숙업,0,4,36.332086,127.4296685
동산여인숙,대전광역시 동구 역전시장길 25 (정동),여인숙업,0,8,36.3300991,127.4341545
대전여인숙,대전광역시 동구 창조1길 49 (원동),여인숙업,0,7,36.3278573,127.4351925
양지여인숙,대전광역시 동구 창조1길 76 (원동),여인숙업,0,8,36.3278573,127.4351925
부자여인숙,대전광역시 동구 대전로825번길 43-1 (중동),여인숙업,0,3,36.332086,127.4296685
하이모텔,대전광역시 동구 대전로807번길 7 (중동),여관업,13,1,36.3311723,127.4311038
