사업장명,도로명전체주소,위생업태명,양실수,한실수,위도,경도
스테이어반트비지니스감성호텔,대전광역시 유성구 온천북로33번길 8-27 (봉명동),여관업,33,0,36.3578011,127.3469792
스파타워,대전광역시 유성구 온천로107번길 40 (봉명동),여관업,32,3,36.3553005,127.3502689
모텔코보스,대전광역시 서구 둔산로73번길 25 (둔산동),여관업,41,1,36.3524223,127.3819663
아리아모텔,대전광역시 동구 한밭대로1316번길 44 (용전동),여관업,29,3,36.3515188,127.439411
모아모텔,"대전광역시 중구 대종로460번길 28 (대흥동,130-2)",여관업,17,0,36.3266754,127.429868
샘보석사우나모텔,대전광역시 서구 청사로123번길 38 (월평동),여관업,26,6,36.3611875,127.377528
아비숑모텔,대전광역시 중구 대종로402번길 28 (문창동),여관업,17,1,36.321262,127.4309165
저스트슬립호텔 유성온천점,대전광역시 유성구 온천로101번길 10-1 (봉명동),여관업,45,4,36.3546839,127.3491133
럭셔리모텔,대전광역시 유성구 온천서로 30-10 (봉명동),여관업,45,0,36.3573221,127.3394849
만월호텔 중리점,대전광역시 대덕구 중리로7번길 14-17 (중리동),여관업,28,7,36.3597079,127.4230059
썸모텔,대전광역시 대덕구 중리로7번길 6-23 (중리동),여관업,23,6,36.3597079,127.4230059
발렌타인,대전광역시 대덕구 신탄진로790번길 40 (신탄진동),여관업,24,4,36.4486177,127.433202
신도장여관,대전광역시 동구 중앙로193번길 25 (중동),여관업,4,6,36.332086,127.4296685
호텔데이즈(Hotel DAYS),대전광역시 서구 둔산남로 98-11 (탄방동),여관업,32,6,36.3490151,127.4019283
프로포즈 모텔,대전광역시 중구 계룡로882번길 112 (오류동),여관업,22,2,36.3214909,127.4065376
삼오모텔,대전광역시 대덕구 신탄진동로7번안길 23 (신탄진동),여관업,16,2,36.4508584,127.4311369
큐모텔,대전광역시 대덕구 신탄진로804번길 5 (신탄진동),여관업,13,7,36.44943495,127.4301658
세영모텔,대전광역시 대덕구 신탄진로804번길 7 (신탄진동),여관업,23,1,36.44939655,127.4303435
호텔나인,대전광역시 대덕구 한밭대로1149번길 19 (중리동),여관업,28,2,36.3597893,127.4262945
코지모텔,대전광역시 유성구 온천서로 35-18 (장대동),여관업,28,8,36.3573221,127.3394849
모텔하얏트,대전광역시 대덕구 신탄진로810번길 33 (신탄진동),여관업,10,8,36.4504391,127.4327313
신탄진페이지,대전광역시 대덕구 신탄진동로35번길 9 (신탄진동),여관업,22,4,36.4504391,127.4327313
꿈의궁전,대전광역시 대덕구 신탄진로810번길 54 (신탄진동),여관업,21,3,36.4504391,127.4327313
스테이오늘,대전광역시 중구 대흥로158번길 13 (대흥동),여관업,30,0,36.3228855,127.4300124
오백호모텔,대전광역시 서구 둔산로65번길 39 (둔산동),여관업,42,4,36.3509036,127.3811509
큐모텔,대전광역시 대덕구 중리로7번길 6-7 (중리동),여관업,7,9,36.3597079,127.4230059
군산여인숙,대전광역시 동구 선화로214번길 69-1 (정동),여인숙업,2,4,36.3323,127.4314
헤라,대전광역시 유성구 온천로107번길 23 (봉명동),여관업,34,2,36.3553005,127.3502689
자우리호텔 도안신도시점,대전광역시 유성구 계룡로 157 (봉명동),일반호텔,39,3,36.3535447,127.3417308
몽모텔,대전광역시 중구 대흥로169번길 11 (대흥동),여관업,29,1,36.3260219,127.4302508
갤러리모텔,대전광역시 서구 둔산남로 98-16 (탄방동),여관업,48,2,36.3490151,127.4019283
데미안모텔,대전광역시 동구 동서대로1683번길 94-8 (용전동),여관업,21,3,36.3524766,127.435556
더호텔아리아,대전광역시 서구 대덕대로234번길 21 (둔산동),여관업,38,8,36.3535811,127.3819766
미도파크여관,대전광역시 동구 한밭대로1316번길 29 (용전동),여관업,16,0,36.3515188,127.439411
호텔무인텔,대전광역시 서구 장안로 354-20 (장안동),여관업,23,0,36.2530448,127.3411927
산토리니,대전광역시 중구 대종로396번길 5 (대흥동),여관업,34,0,36.3207155,127.4313587
투유파크,대전광역시 대덕구 신탄진동로 29 (신탄진동),여관업,20,8,36.4475384,127.4304288
프롬에이치 에이스,대전광역시 유성구 계룡로141번길 13-21 (봉명동),여관업,45,0,36.3538733,127.346488
목포여인숙,대전광역시 동구 대전로813번길 21 (중동),여인숙업,0,3,36.3315723,127.4307873
루이스(Luis),대전광역시 유성구 온천서로 32-16 (봉명동),여관업,32,0,36.3573221,127.3394849
만월호텔 유성점,대전광역시 유성구 문화원로6번길 114 (장대동),여관업,28,8,36.3590996,127.3374952
거인장,대전광역시 동구 선화로214번길 65 (정동),여인숙업,1,9,36.3324,127.4313
밀라노모텔,대전광역시 대덕구 한밭대로1149번길 33 (중리동),여관업,17,2,36.3597893,127.4262945
프로포즈모텔,대전광역시 대덕구 중리로7번길 18 (중리동),여관업,20,4,36.3597079,127.4230059
휠모텔,대전광역시 대덕구 중리로21번길 23 (중리동),여관업,22,2,36.3619512,127.4248381
알프스파크,대전광역시 대덕구 신탄진로790번길 44 (신탄진동),여관업,23,9,36.4486177,127.433202
아크리스,대전광역시 중구 유등천동로 326-9 (산성동),여관업,27,2,36.307534,127.3847183
발렌타인모텔,대전광역시 유성구 장대로 20-19 (장대동),여관업,28,8,36.3569572,127.3376849
루오호텔대흥점,대전광역시 중구 인창로6번길 25 (대흥동),여관업,25,0,36.321262,127.4309165
대림파크,대전광역시 중구 대흥로158번길 18 (대흥동),여관업,14,5,36.3228855,127.4300124
W모텔,대전광역시 서구 월평북로 88-10 (월평동),여관업,22,0,36.3611899,127.3781874
포시즌모텔,"대전광역시 서구 둔산남로105번길 32, 3~6층 (둔산동)",여관업,36,5,36.3501216,127.3892514
청산파크,대전광역시 대덕구 신탄진로844번길 26 (신탄진동),여관업,12,8,36.4528843,127.4298175
시네마모텔,대전광역시 동구 동서대로1725번길 18 (용전동),여관업,30,2,36.3531075,127.4384564
로데오모텔,대전광역시 서구 둔산로31번길 34 (둔산동),여관업,41,4,36.3533057,127.3785109
더블유모텔,대전광역시 서구 용문로 67 (용문동),여관업,35,0,36.3386328,127.3897359
워커힐모텔,대전광역시 서구 월평로 47 (월평동),여관업,40,10,36.3571791,127.3630649
럭셔리모텔,대전광역시 대덕구 신탄진동로7번길 32 (신탄진동),여관업,22,6,36.449223,127.4299318
그랜드파크,대전광역시 대덕구 신탄진로218번길 57-9 (와동),여관업,9,8,36.401763,127.4228787
피렌체호텔,대전광역시 서구 용문로 49 (괴정동),여관업,20,5,36.3386328,127.3897359
현대여인숙,"대전광역시 중구 계백로1566번길 6 (유천동,,35)",여인숙업,2,9,36.3147683,127.3950511
블랙호텔,대전광역시 서구 용문로 65 (용문동),여관업,31,0,36.3386328,127.3897359
스카이모텔,대전광역시 동구 동서대로1725번길 24 (용전동),여관업,24,0,36.3531075,127.4384564
럭셔리모텔,대전광역시 중구 대종로386번길 13 (부사동),여관업,19,1,36.3207914,127.4337158
레이크모텔,대전광역시 중구 계룡로921번길 11 (대사동),여관업,32,0,36.3215901,127.4170441
블루모텔,대전광역시 대덕구 신탄진동로35번길 5 (신탄진동),여관업,24,3,36.4504391,127.4327313
상아장모텔,대전광역시 유성구 온천로 74 (봉명동),여관업,10,21,36.3549374,127.3450624
유성호텔,대전광역시 유성구 온천로 9 (봉명동),관광호텔,146,43,36.3549374,127.3450624
